,Var1
174-1,5.2975008900386458
175-1,4.9408979146353076
176-1,8.3884345733861743
177-1,7.1988230369596602
178-1,13.893462064478642
179-1,15.588906499812786
180-1,12.282217999833149
181-1,26.712701713252386
182-1,36.33500315208309
183-1,5.937205717248669
184-1,5.1236682337619035
185-1,6.3896331948194609
186-1,3.7553318425778488
187-1,5.0881795954193594
188-1,15.366997714830353
189-1,10.59438023301727
190-1,8.9929133764044504
191-1,8.0687458004702997
192-1,17.830711840694605
193-1,33.537966555423779
194-1,14.931711489510743
195-1,49.762279691004295
196-1,26.211826263481516
197-1,56.839814345067801
198-1,22.6467666346817
199-1,37.274101453028415
200-1,25.694277319111254
201-1,45.916376738665214
202-1,20.942023804268977
203-1,24.725137049863072
204-1,26.619752600535001
205-1,8.2825021375204404
206-1,46.13207242849807
207-1,35.824661686813819
208-1,31.505210916253922
209-1,21.446543600400513
210-1,40.294220098470952
211-1,25.941353418277174
212-1,24.243892041775005
213-1,8.0336665016956168
214-1,11.847180699130982
215-1,9.4234633924929874
216-1,16.911235300452553
217-1,14.042729071549367
218-1,21.81079518765354
219-1,29.495462548124056
220-1,18.322703473501733
221-1,66.64611207026131
222-1,31.188671441425896
223-1,41.053702883287755
224-1,18.557434928761616
225-1,11.270658896965486
226-1,36.036195818909448
227-1,52.388423911956892
228-1,23.389900637436696
229-1,30.088677113415731
230-1,20.588781817845383
231-1,5.9640775394752907
232-1,17.557689521505775
233-1,18.652652570337665
234-1,43.686542081707664
235-1,51.104738394741801
236-1,36.049860126305489
237-1,23.623402736409176
238-1,18.922166989521184
239-1,15.784811681817482
240-1,15.331874212562825
241-1,27.085686700813717
242-1,12.603744002681397
243-1,15.137509195144585
244-1,15.774632533001158
245-1,14.104296650363072
246-1,13.460091693248277
247-1,12.940308625194277
248-1,13.598478916937955
249-1,1.5704313392602491
250-1,2.2468559563926043
251-1,4.0210283480192244
252-1,7.7459958636435866
253-1,3.217698421242448
254-1,5.2685450945742822
255-1,7.5979139359903183
256-1,7.230853952972045
257-1,8.9154853945829267
258-1,12.727022613373032
259-1,11.440802437066173
260-1,4.6069341162967312
261-1,11.90964556885532
262-1,7.4309916616599914
263-1,12.199389766265361
264-1,13.624764336116495
265-1,14.950312179070076
266-1,15.836496891675228
267-1,20.38530024555272
268-1,21.437336071585136
269-1,14.558923601766317
270-1,10.740371278452113
