,Var1
151-1,5.8991336350363026
152-1,6.3792109775186692
153-1,6.4164430493768201
154-1,9.64711539000408
155-1,11.307647037965602
156-1,6.365777680992573
157-1,8.0057053667764126
158-1,5.4804710169602631
159-1,6.8364039923177184
160-1,6.2163322495204225
161-1,6.734163689884709
162-1,7.2024699958539813
163-1,5.9072757726886591
164-1,4.6097640322666766
165-1,4.4968174913792112
166-1,3.7044283989562428
167-1,4.5721722655294865
168-1,6.7702128707280318
169-1,16.110280905614999
170-1,8.6346918967242559
171-1,6.2885509291756323
172-1,6.523465684952555
173-1,8.6530029966358626
174-1,5.5124780532370767
175-1,5.2119102567873874
176-1,10.051607901803418
177-1,6.6393053300603118
178-1,12.678938311317895
179-1,16.884912638046508
180-1,13.474465278924098
181-1,23.004120112113579
182-1,34.894127617071753
183-1,7.1883045118264057
184-1,7.0042882273508429
185-1,6.9532143554624684
186-1,4.7601021259672684
187-1,6.3313962028849717
188-1,18.447899547289492
189-1,11.54658032124949
190-1,10.519341063310833
191-1,8.0406551612371153
192-1,20.682063839913504
193-1,30.08635375641018
194-1,19.181944573653293
195-1,44.86292027178596
196-1,22.690630952964213
197-1,52.973890212792739
198-1,54.813578926092504
199-1,36.232622635029855
200-1,30.457472670471482
201-1,45.394916759408254
202-1,35.567365357879503
203-1,26.406347803048345
204-1,33.681568651207265
205-1,10.822955294624212
206-1,42.071148012320876
207-1,55.543681784409877
208-1,29.607670285730194
209-1,25.471439219170492
210-1,39.272224174642446
211-1,36.365166835661384
212-1,27.413851907172681
213-1,8.448407129815843
214-1,12.523778360826952
215-1,9.9324508337450226
216-1,17.794776733940257
217-1,14.746167712243187
218-1,24.210139660193924
219-1,29.319018249011688
220-1,17.280262770498787
221-1,62.462929697556483
222-1,36.095268726693646
223-1,41.336071760203005
224-1,19.810366155469691
225-1,11.244305877419293
226-1,36.577230886376633
227-1,58.394551662539371
228-1,23.433495265415168
229-1,58.958283187831327
230-1,18.589205652261853
231-1,10.396798279133545
232-1,18.336976630512773
233-1,23.440884252239432
234-1,45.008578370482766
235-1,48.214371121500065
236-1,38.465569005226662
237-1,24.569294468273906
238-1,20.775656966543483
239-1,19.460635637959598
240-1,17.274176754685339
241-1,26.877224162304437
242-1,13.46719621150106
243-1,17.094073376020049
244-1,16.805961470105146
245-1,13.737700291867753
246-1,14.318632517328389
247-1,11.489888696598474
248-1,14.719566686935996
249-1,2.6032445699122455
250-1,2.9547711147837918
251-1,5.0025146054107097
252-1,7.9658747468925419
253-1,3.3792507089041139
254-1,5.6495895066352988
255-1,7.7577597739272086
256-1,8.5962112539840536
257-1,11.60515828597554
258-1,13.040834599433882
259-1,14.094688012049595
260-1,5.8635870012028608
261-1,10.150622579448592
262-1,11.694104349965357
263-1,12.499937279532121
264-1,15.824506387300744
265-1,15.49001605345229
266-1,23.92769326388607
267-1,20.501975413177682
268-1,25.020981896939141
269-1,15.041358295100784
270-1,10.039809237134367
271-1,18.992827772052536
272-1,13.249809649908663
273-1,7.6023929021045911
274-1,10.819049005724928
275-1,9.142786459494765
276-1,7.7422050019235931
277-1,10.270597989368394
278-1,9.6543717131170634
279-1,7.2016321442903575
280-1,12.812246183490252
281-1,9.8035557581450874
282-1,11.116186786104569
283-1,8.2860980596261538
284-1,12.407598013503149
285-1,7.6742388498833156
286-1,8.4665034697562707
287-1,8.1912959452164529
288-1,6.824377027640824
289-1,12.048376845612946
290-1,10.767281762540195
291-1,11.345233153055968
292-1,11.944424359314363
293-1,6.587346993809021
294-1,9.3662991173746288
295-1,7.3352812653642614
296-1,8.9079106462242059
297-1,15.610691741188845
298-1,10.387338817577689
299-1,13.104963684240394
300-1,10.661468888316426
301-1,10.138807713969399
302-1,7.963937318288874
303-1,9.2983055619493875
304-1,9.2198278107984493
305-1,14.529894501271363
306-1,12.821811558220324
307-1,9.2741781617724524
308-1,10.121703167318547
309-1,8.8893296168042379
310-1,12.005095427603081
311-1,9.9524460616953228
312-1,16.935263767919519
313-1,8.7263330285214202
314-1,5.6986019464840325
315-1,3.61507291664658
316-1,6.7561397957493474
317-1,6.9569288489228995
318-1,7.7509172801631214
319-1,6.4160880399586224
320-1,4.9382839430165379
321-1,4.0976992167183992
322-1,5.1180628453768113
323-1,4.0362613726105323
324-1,20.608094742542654
325-1,6.7960588776997417
326-1,7.4497725649298507
327-1,6.077964425499518
328-1,8.7015798758328859
329-1,10.650413345402137
330-1,10.318595423034335
331-1,6.3840055594225324
332-1,14.261448062440733
333-1,14.485161368158717
334-1,8.8069137976171241
335-1,29.772498737067952
336-1,5.0595639815592888
337-1,12.191190199971983
338-1,8.2326360252650463
339-1,7.9555226852278675
340-1,11.261638508447493
341-1,10.122387611449405
342-1,10.510833136250412
343-1,9.7858196612529387
344-1,8.5811848196432479
345-1,14.559056891584126
346-1,6.7567535100222074
347-1,9.9292323631968475
348-1,8.3160068652356731
349-1,7.7706446987281819
350-1,5.4277666082290734
351-1,5.6237813644146275
352-1,16.046404042446248
353-1,10.849214664746446
354-1,12.636483509318806
355-1,4.2341268160345802
356-1,8.722663873934918
357-1,5.8995573988654995
358-1,5.464573367207227
359-1,4.475994359983436
360-1,5.5407370555281741
361-1,4.3015439088146383
362-1,4.6378264875657234
363-1,7.3803944092225597
364-1,7.6413046194680421
365-1,7.4554370846015567
366-1,7.8351025041392024
367-1,4.0763230189414674
368-1,7.0479087603117216
369-1,6.2896762291870481
370-1,6.4699078170050264
371-1,6.1565310609217345
372-1,9.2477126041625901
373-1,7.4796933162446155
374-1,7.1363001351138484
375-1,5.3043427298261756
376-1,6.0711464833879392
377-1,6.8749612986860162
378-1,5.6359523375845759
379-1,4.1612735965669758
380-1,5.41710672114161
381-1,3.8130599405255836
382-1,5.6375152468360197
383-1,6.3220543159908562
384-1,6.9438130076466296
385-1,6.8625566235506463
386-1,5.9780393034743557
387-1,3.3806179693849194
388-1,3.6828420964959956
389-1,5.3342931579304533
390-1,2.6072766943161074
391-1,4.6332828476613637
392-1,25.228855697816524
393-1,8.5448252274851146
394-1,3.5953403049182797
395-1,5.6997800435848731
396-1,4.0477098248377832
397-1,4.5097441627657737
398-1,3.0368517397284469
399-1,3.0829160737950927
400-1,5.7555550232160684
401-1,3.5871837398745288
402-1,4.8420332720311627
403-1,3.4662783941815309
404-1,3.7459069430299188
405-1,5.2440396821852922
406-1,4.3696430312711181
407-1,6.9914278972266546
408-1,3.3121644055073682
409-1,3.1648947791960995
410-1,10.662524131015905
411-1,2.0090759191388292
412-1,2.9353853925476212
413-1,1.7902183217996981
414-1,2.7574700306194773
415-1,3.924135943081887
416-1,3.597730833139233
417-1,3.3560969731323356
418-1,3.04949961914989
419-1,2.1551626754304674
420-1,1.9302293862451601
421-1,4.8538011708323747
422-1,3.132240221531311
423-1,3.2870313444332528
424-1,2.7582327965986093
425-1,1.8698259358036304
426-1,5.295250763559717
427-1,3.1040265765861426
428-1,2.7082467015816145
429-1,3.6993075422514696
430-1,3.1699606797492383
431-1,1.8118030358196739
432-1,4.3071784391570427
433-1,2.6041161420815588
434-1,2.5702076508739564
435-1,1.8591884351066954
436-1,2.347332495313275
437-1,4.4977770314134897
438-1,5.8995989307614485
439-1,3.06021256164495
440-1,2.4781228527808552
441-1,4.3929349113995011
442-1,3.1204958099468971
443-1,3.4092546294252704
