,Var1
355-1,7.2437867520682797
356-1,6.0930242672654238
357-1,5.5906056838913685
358-1,4.7912996938733539
359-1,4.5494930713364159
360-1,5.8913158673824988
361-1,4.8979465119180734
362-1,5.9275735549704054
363-1,5.4286458715399579
364-1,5.2239083336589784
365-1,5.2410832429671652
366-1,4.254045254877834
367-1,4.0285151916462345
368-1,6.1274167861360915
369-1,5.8563549117784675
370-1,4.3911380179426933
371-1,6.6329585647831442
372-1,7.0627238036754862
373-1,5.2923468697876919
374-1,5.6832173214809734
375-1,4.8752583144891624
376-1,5.5517752511345302
377-1,7.4453369680387951
378-1,4.6237986706125733
379-1,4.2335931729938023
380-1,5.3964482011777859
381-1,4.3403943230739177
382-1,6.7145318075589353
383-1,6.7848030898010627
384-1,6.3872037846151191
385-1,5.8511364754681265
386-1,6.2639531721392663
387-1,3.9325807795698133
388-1,4.4607898823913201
389-1,5.1390870885743718
390-1,4.7349031825328867
391-1,6.5252678055377871
392-1,16.659601697206856
393-1,6.7624088611664499
394-1,4.667401865141982
395-1,3.8235597558241468
396-1,4.3416233824297557
397-1,4.9570264710209511
398-1,2.7357039911013592
399-1,3.4644439211065237
400-1,4.5912708017331409
401-1,2.8595755154299631
402-1,3.809885463158448
403-1,4.6662189477473959
404-1,4.2617113172514838
405-1,4.3872028754323456
406-1,3.7053369155499913
407-1,5.0166204972666311
408-1,3.652325196787785
409-1,4.0346376730993381
410-1,3.5407744910362964
411-1,2.7289579578208145
412-1,3.1715749785686946
413-1,2.5734897523834817
414-1,2.3071436192715979
415-1,2.4211908989533248
416-1,3.0053068997470063
417-1,3.0808885408185751
418-1,3.1622599997656824
419-1,3.8805680882573999
420-1,3.2068746519431541
421-1,5.1562375129935116
422-1,3.2852822645877602
423-1,3.991237488485075
424-1,2.8576281126793246
425-1,2.1590366692265088
426-1,4.0072863682816182
427-1,2.5131100223358001
428-1,2.8980588320853138
429-1,2.7451848900933853
430-1,2.7049959497079485
431-1,2.0897986789339917
432-1,3.3047407425120272
433-1,2.4154366772415394
434-1,2.6184655758417774
435-1,2.3647624497328068
436-1,2.8493026046050809
437-1,3.6467914015702978
438-1,3.7205068373989594
439-1,2.3931446743633189
440-1,3.9036142717554041
441-1,4.0175208231619193
442-1,3.3295280007541965
443-1,3.8871964554677518
444-1,3.6788527315831745
445-1,2.8875712035767407
446-1,2.5862658410421986
447-1,2.857891563283983
448-1,1.9639247555267554
449-1,1.7219909214150391
450-1,2.0505362194988499
451-1,2.0341995605006056
452-1,2.4112705904569887
453-1,3.1921218279963979
454-1,2.2590528545289885
455-1,2.3779762526935606
456-1,3.8609944746215228
457-1,3.9472569586030049
458-1,3.4438167378515643
459-1,4.9489379764097103
460-1,4.0438885165438849
461-1,4.1607369455472174
462-1,4.5121774852876184
463-1,6.0997407874936114
464-1,7.9248070868588227
465-1,6.7044273778398384
466-1,5.0859174821960611
467-1,5.8699648871553851
468-1,7.7252099147500903
469-1,2.7937910307960774
470-1,2.9503381230736867
471-1,1.7767757185107675
472-1,2.7905732033453132
473-1,2.516817574349747
474-1,1.2990053374070734
475-1,1.8596772211075574
476-1,1.6848308097375506
477-1,2.2864300296664539
478-1,1.9184790237572213
479-1,2.2835603911260485
480-1,2.428403927187976
481-1,0.99025448456965781
482-1,2.1899333246292816
483-1,2.5684911501822114
484-1,1.1165029134149922
485-1,1.4658640848262514
486-1,1.5815047927351122
487-1,4.2735328083669435
488-1,1.489851914257162
489-1,3.0705169034921536
490-1,2.6521362046399339
491-1,3.4246916231986053
492-1,2.5714698019674986
493-1,1.4744066863754357
