,Var1,Var2
77-1,20080422,-0.01844142790272274
78-1,20080423,0.0067453881395316273
79-1,20080424,-0.11066556788751969
80-1,20080425,-0.0078530323478180897
81-1,20080428,-0.013013991004148462
82-1,20080429,0.036390464540337675
83-1,20080430,-0.0018501392881615786
84-1,20080501,0.027398974188114433
85-1,20080502,-0.011477021177528801
86-1,20080505,-0.0073171058170671266
87-1,20080506,0.00061180791140591495
88-1,20080507,-0.024769068112409087
89-1,20080508,-0.0062893289075640624
90-1,20080509,0.00063071588341223617
91-1,20080512,0.010661750414759918
92-1,20080513,-0.0037500043945404293
93-1,20080514,-0.0043928530007351085
94-1,20080515,0.01063507052323498
95-1,20080516,0.057434943395807014
96-1,20080519,0.0043968999460366476
97-1,20080520,-0.012656533923453672
98-1,20080521,-0.011319751494067276
99-1,20080522,0.024268725834870608
100-1,20080523,-0.0076313842624795569
101-1,20080527,0.030753801683333748
102-1,20080528,0.018681550945580216
103-1,20080529,0.027110927370935567
104-1,20080530,-0.0076712704966515055
105-1,20080602,-0.013289232118682826
106-1,20080603,-0.011210879749216751
107-1,20080604,0.020089961390346911
108-1,20080605,0.021858793812498778
109-1,20080606,-0.045902445752673771
110-1,20080609,-0.0085252008233598353
111-1,20080610,0.018100041643617892
112-1,20080611,-0.014681234894832418
113-1,20080612,0.012436565041008762
114-1,20080613,0.019472103412820019
115-1,20080616,0.0098685011407537715
116-1,20080617,-0.012074789956291188
117-1,20080618,-0.017827770217578642
118-1,20080619,0.010623527365730911
119-1,20080620,-0.042027763807927609
120-1,20080623,-0.056680842621593008
121-1,20080624,0.017645727093194896
122-1,20080625,0.031465938196953314
123-1,20080626,-0.048497980091385173
124-1,20080627,0.0024509816191398137
125-1,20080630,-0.038046372361670411
126-1,20080701,-0.0070175726586465537
127-1,20080702,0.0038338705107219262
128-1,20080703,-0.0057563318525764018
129-1,20080707,-0.042922231401611999
130-1,20080708,0.026756344271036792
131-1,20080709,-0.041256682638379782
132-1,20080710,-0.022673592401453835
133-1,20080711,-0.024623122301611566
134-1,20080714,-0.0014255169912207322
135-1,20080715,-0.031150653443391629
136-1,20080716,0.053021013677028161
137-1,20080717,0.0048729647418741528
138-1,20080718,-0.0034782643763247023
139-1,20080721,-0.018639540877293914
140-1,20080722,0.071569126471928257
141-1,20080723,0.018337121531760037
142-1,20080724,-0.057425655714522961
143-1,20080725,-0.0089748617606986159
144-1,20080728,-0.010456700368057792
145-1,20080729,0.048222712512767885
146-1,20080730,-0.017854609388166853
147-1,20080731,-0.0068213088507382835
148-1,20080801,-0.012396852976828576
149-1,20080804,-0.025975486403260195
150-1,20080805,0.030814763044009652
151-1,20080806,0.029223962124570235
152-1,20080807,-0.026469139445725709
153-1,20080808,0.039114898646013696
154-1,20080811,0.075146737061329905
155-1,20080812,0.0045906737085985583
156-1,20080813,-0.0033644319853545213
157-1,20080814,0.036695846609083205
158-1,20080815,-0.013079853537741659
159-1,20080818,-0.010225653011757263
160-1,20080819,-0.035069727368624015
161-1,20080820,-0.011968646809192851
162-1,20080821,-0.0076336248550714636
163-1,20080822,0.022728251077556383
164-1,20080825,-0.031064304479617721
165-1,20080826,-0.0012886599721482206
166-1,20080827,0.0051447058812379431
167-1,20080828,0.024082279157235931
168-1,20080829,-0.023441047971429985
169-1,20080902,0.0089343287337659838
170-1,20080903,0.012626430372811637
171-1,20080904,-0.055462310782258939
172-1,20080905,0.00660940938767407
173-1,20080908,0.022150742787588662
174-1,20080909,-0.03141619623337899
175-1,20080910,0.0013289038500539085
176-1,20080911,0.036509922039792198
177-1,20080912,-0.019392980099094626
178-1,20080915,-0.015789801732635222
179-1,20080916,0.060468579060403371
180-1,20080917,-0.026567027384722053
181-1,20080918,0.025942612753132366
182-1,20080919,0.0080871358331791043
183-1,20080922,-0.055738036654961576
184-1,20080923,-0.012856613548437146
185-1,20080924,-0.012016165942486445
186-1,20080925,0.0026827648551814853
187-1,20080926,0.0040107005634073545
188-1,20080929,-0.036688897556065303
189-1,20080930,0.027978624731172186
190-1,20081001,-0.0040458585195439767
191-1,20081002,-0.043500127067479966
192-1,20081003,-0.037387532071620377
193-1,20081006,-0.051100523302616274
194-1,20081007,-0.053853074750409125
195-1,20081008,-0.063833589296975912
196-1,20081009,-0.046148383546379179
197-1,20081010,0.0081411575837000427
198-1,20081013,0.056056706081661911
199-1,20081014,-0.038199088681655446
200-1,20081015,-0.11127769268591514
201-1,20081016,0.043548245245735639
202-1,20081017,-0.011428695823622714
203-1,20081020,0.063999582832960922
204-1,20081021,-0.058268908123976004
205-1,20081022,-0.049790664503015503
206-1,20081023,0.027642431280004764
207-1,20081024,-0.058132598037792249
208-1,20081027,-0.0093313274288839843
209-1,20081028,0.12608183847107846
210-1,20081029,0.038726135830167596
211-1,20081030,0.10871178433803053
212-1,20081031,0.039616831201637837
213-1,20081103,-0.045976153109930529
214-1,20081104,-0.0096154586994416924
215-1,20081105,-0.061430099105251657
216-1,20081106,-0.049132688577644856
217-1,20081107,-0.051672010544320912
218-1,20081110,-0.034685557987890192
219-1,20081111,-0.018803126963096162
220-1,20081112,-0.069278341086377981
221-1,20081113,-0.0032171609517752664
222-1,20081114,-0.07816477284933665
223-1,20081117,0.004635002504148833
224-1,20081118,-0.030518800464673035
225-1,20081119,-0.051356027676991101
226-1,20081120,-0.10299332106916848
227-1,20081121,0.083993382824264495
228-1,20081124,0.071547151292048028
229-1,20081125,-0.022269954360036426
230-1,20081126,0.068789969994929479
231-1,20081128,0.011299555253933224
232-1,20081201,-0.11225061494834376
233-1,20081202,0.068615679051474032
234-1,20081203,0.013986241974739855
235-1,20081204,-0.0034782643763251464
236-1,20081205,0.054250589749748279
237-1,20081208,0.051458297275475573
238-1,20081209,-0.029694652639115748
239-1,20081210,0.024456295977526743
240-1,20081211,-0.06062462181643502
241-1,20081212,0.04153602525391209
242-1,20081215,-0.037081674904531514
243-1,20081216,0.076961041136128117
244-1,20081217,0.012270092591814219
245-1,20081218,-0.025734822168815175
246-1,20081219,0.026750566288650912
247-1,20081222,-0.049424883327523261
248-1,20081223,-0.018843087801479808
249-1,20081224,0.010810916104215806
250-1,20081226,0.0053619431413851615
251-1,20081229,-0.03371716889651033
252-1,20081230,0.034786116085415486
253-1,20081231,0.0085106896679083555
254-1,20090102,0.040482954001666016
255-1,20090105,0.0091139871377063919
256-1,20090106,0.030771658666753687
257-1,20090107,-0.022739486969489242
258-1,20090108,0.014888612493750397
259-1,20090109,-0.039181305062795158
260-1,20090112,-0.016529301951210496
261-1,20090113,-0.02585213874773773
262-1,20090114,-0.034251785321967709
263-1,20090115,0.025124205173678416
264-1,20090116,0.018172600579645426
265-1,20090120,-0.060028930631595756
266-1,20090121,0.014517284548718923
267-1,20090122,0.011025470011707839
268-1,20090123,-0.0054975399591947749
269-1,20090126,-0.0088594156435162219
270-1,20090127,0.016547536982529643
271-1,20090128,0.053779260891633651
272-1,20090129,0.00051826899320239761
273-1,20090130,-0.0220019351934857
274-1,20090202,0
275-1,20090203,0.040482954001666016
276-1,20090204,-0.0061224681043836604
277-1,20090205,0.035197197804627933
278-1,20090206,0.039714662286564728
279-1,20090209,0.01788282949677189
280-1,20090210,-0.078566807300759489
281-1,20090211,0.0070387419814763597
282-1,20090212,0.01935064100528594
283-1,20090213,-0.0069033804730742609
284-1,20090217,-0.044002041390381663
285-1,20090218,-0.0031072008427486253
286-1,20090219,-0.012526259819180208
287-1,20090220,0.0068045276943338173
288-1,20090223,-0.044262090229234552
289-1,20090224,0.035354512338122035
290-1,20090225,-0.0095188450092069665
291-1,20090226,-0.041220586168394302
